,l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
0,1,1,2,220000,3,2,50,Leitung 2016,TenneT,2016,43396,0.08,0.32,11.5,1.3,67129,'SRID=4326;LINESTRING(9.52257601112577 52.3604090734199
1,2,3,4,380000,3,4,50,Leitung 3011,TenneT,,72714,0.025,0.25,13.7,2.6,67131,'SRID=4326;LINESTRING(9.38974515063535 52.0263130791669
2,3,5,6,220000,3,2,50,Leitung 2024,TenneT,1,33954,0.08,0.32,11.5,1.3,67151,'SRID=4326;LINESTRING(10.366274939217 52.2846467643429
3,4,7,5,380000,3,4,50,Leitung 3026,TenneT,3026,33483,0.025,0.25,13.7,2.6,67153,'SRID=4326;LINESTRING(9.9171797569037 52.2781686248742
4,5,8,9,380000,6,4,50,KKW Krümmel - UW Lüneburg,TenneT,,28172,0.0125,0.125,27.4,5.2,67585,'SRID=4326;LINESTRING(10.4149924241538 53.4126068813272
5,6,10,11,220000,3,2,50,295,50Hertz,295,27550,0.08,0.32,11.5,1.3,69042,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
6,7,11,12,220000,3,2,50,293,50Hertz,293,45776,0.08,0.32,11.5,1.3,69043,'SRID=4326;LINESTRING(13.2061030014846 52.6571363047161
7,8,10,12,220000,3,2,50,294,50Hertz,294,68345,0.08,0.32,11.5,1.3,69045,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
8,9,13,14,220000,3,2,50,Oba-Nfi I,TenneT TSO GmbH,263,39279,0.08,0.32,11.5,1.3,69488,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393
9,10,13,15,380000,3,2,,Oba-Oh,transpower,461,44134,0.05,0.5,6.85,1.3,69489,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393
10,11,16,5,380000,3,4,50,Leitung 3023,TenneT,2,36262,0.025,0.25,13.7,2.6,71281,'SRID=4326;LINESTRING(10.7610404155909 52.3677293936344
11,12,17,18,380000,3,3,50,518,50Hertz,518,200169,0.033333,0.333333,10.275,1.95,109962,'SRID=4326;LINESTRING(13.4947634286677 52.5897644694349
12,13,17,12,380000,3,3,50,520,50Hertz,520,24249,0.033333,0.333333,10.275,1.95,109969,'SRID=4326;LINESTRING(13.4947634286677 52.5897644694349
13,14,524,432,220000,6,1,,Silz-Thaur,,273C;274C,44248,0.08,0.32,11.5,1.3,110484,'SRID=4326;LINESTRING(11.4713646981203 47.2728413155732
14,15,13,15,380000,3,2,,Oberbachern - Ottenhofen,transpower,462,44206,0.05,0.5,6.85,1.3,112804,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393
15,16,14,15,220000,6,2,50,Nfi-Oh,,286;287,5431,0.04,0.16,23,2.6,112810,'SRID=4326;LINESTRING(11.8132329291411 48.2212664672329
16,17,13,19,220000,6,2,50,OBR-OBA,TenneT,269;270,30997,0.04,0.16,23,2.6,114252,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393
17,18,20,21,380000,3,2,50,Hamburg/Ost - Hamburg/Nord,50Hertz,A,31297,0.05,0.5,6.85,1.3,114696,'SRID=4326;LINESTRING(9.98460987842098 53.7411288196703
18,19,20,22,380000,3,4,,Brunsbüttel - Hamburg/Nord,50Hertz,G,57400,0.025,0.25,13.7,2.6,114718,'SRID=4326;LINESTRING(9.98460987842098 53.7411288196703
19,20,20,23,220000,3,,,UW HH-Nord - UW Ulzburg,,,3314,,,,,114723,'SRID=4326;LINESTRING(9.98460987842098 53.7411288196703
20,21,23,24,220000,6,,50,UW Hamburg Nord - UW Audorf,TenneT,,62941,,,,,114724,'SRID=4326;LINESTRING(9.98853665499904 53.7662776782512
21,22,525,526,400000,3,3,50,,ČEPS,453,84163,,,,,5163419,'SRID=4326;LINESTRING(15.835183580605 50.3359068230297
22,23,25,26,380000,6,,50,308 AKW Brokdorf - UW Wilster,TenneT,308,8184,,,,,114738,'SRID=4326;LINESTRING(9.34476101692227 53.9218370813918
23,24,25,22,380000,3,,50,309 AKW Brunsbüttel - UW Wilster,TenneT,309,10279,,,,,114742,'SRID=4326;LINESTRING(9.34476101692227 53.9218370813918
24,25,23,27,220000,3,,,AKW Stade - UW Hamburg Nord,TenneT,,41967,,,,,114747,'SRID=4326;LINESTRING(9.98853665499904 53.7662776782512
25,26,28,23,220000,3,,,UW Kummerfeld - UW Hamburg Nord,TenneT,,19430,,,,,114752,'SRID=4326;LINESTRING(9.77654483603303 53.6906352940911
26,27,8,21,380000,3,,50,991;992,50Hertz,991;992,28585,,,,,114782,'SRID=4326;LINESTRING(10.4149924241538 53.4126068813272
27,28,9,29,380000,,4,50,3021 Lüneburg - Stadorf,TenneT,,25578,,,,,114789,'SRID=4326;LINESTRING(10.3787706356666 53.2197927695925
28,29,31,32,380000,3,3,50,449 Mecklar - Vieselbach,50Hertz,449,129896,0.033333,0.333333,10.275,1.95,129420,'SRID=4326;LINESTRING(9.74615085631454 50.9168400022101
29,30,32,33,380000,3,3,50,454 Eisenach - Vieselbach,50Hertz,454,72628,0.033333,0.333333,10.275,1.95,129422,'SRID=4326;LINESTRING(11.1228546271538 50.9989090757631
30,31,34,35,220000,3,2,50,209 weiß,TenneT,209,5847,0.08,0.32,11.5,1.3,138889,'SRID=4326;LINESTRING(8.122642304058 53.5605160665145
31,32,35,36,220000,3,2,50,211 rot,TenneT,211,2651,0.08,0.32,11.5,1.3,138892,'SRID=4326;LINESTRING(8.08565060815886 53.6058342194744
32,33,2,6,220000,3,2,50,Leitung 2008,TenneT,2008,74543,0.08,0.32,11.5,1.3,142684,'SRID=4326;LINESTRING(9.11321011483187 52.5438533448625
33,34,37,10,380000,3,3,50,494,50Hertz,494,104147,0.033333,0.333333,10.275,1.95,145483,'SRID=4326;LINESTRING(11.6389126099956 52.2687358982154
34,35,10,38,380000,3,3,50,498,50Hertz,498,29660,0.033333,0.333333,10.275,1.95,145484,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
35,36,37,38,380000,3,3,50,493,50Hertz,493,124549,0.033333,0.333333,10.275,1.95,145485,'SRID=4326;LINESTRING(11.6389126099956 52.2687358982154
36,37,39,40,380000,3,3,50,513,50Hertz,513,195839,0.033333,0.333333,10.275,1.95,145508,'SRID=4326;LINESTRING(11.727353429381 52.5689470103264
37,38,39,41,380000,3,3,50,516,50Hertz,516,75663,0.033333,0.333333,10.275,1.95,145509,'SRID=4326;LINESTRING(11.727353429381 52.5689470103264
38,39,18,42,380000,3,3,50,512,50Hertz,512,148947,0.033333,0.333333,10.275,1.95,145513,'SRID=4326;LINESTRING(13.6834769799404 54.1390906728297
39,40,10,43,220000,3,2,50,319,50Hertz,319,55074,0.08,0.32,11.5,1.3,240489,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
40,41,10,43,220000,3,2,50,324,50Hertz,324,55013,0.08,0.32,11.5,1.3,240490,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
41,42,44,45,220000,3,2,50,291,50Hertz,291,38927,0.08,0.32,11.5,1.3,241440,'SRID=4326;LINESTRING(13.5061280249068 52.4738227039188
42,43,44,46,220000,3,2,,301 Wuhlheide - Marzahn,50Hertz,301,9161,0.08,0.32,11.5,1.3,241442,'SRID=4326;LINESTRING(13.5061280249068 52.4738227039188
43,44,46,12,380000,3,4,,495,50Hertz,,16996,0.025,0.25,13.7,2.6,252583,'SRID=4326;LINESTRING(13.5241987812625 52.5356343208068
44,45,46,12,380000,3,4,,496,50Hertz,,17015,0.025,0.25,13.7,2.6,252584,'SRID=4326;LINESTRING(13.5241987812625 52.5356343208068
45,46,47,48,380000,3,1,50,836 (BIN-FRH),Stromnetz Berlin,,7712,0.1,1,3.425,0.65,252589,'SRID=4326;LINESTRING(13.4564307414427 52.521451771614
46,47,31,33,380000,3,3,50,450 Mecklar - Eisenach,50Hertz,450,58397,0.033333,0.333333,10.275,1.95,270536,'SRID=4326;LINESTRING(9.74615085631454 50.9168400022101
47,48,31,51,380000,6,4,,3009 Borken - Mecklar,TenneT,3009,40727,0.0125,0.125,27.4,5.2,270963,'SRID=4326;LINESTRING(9.74615085631454 50.9168400022101
48,49,52,53,380000,3,4,,Daxlanden - Eichstetten,EnBW,7510,121006,0.025,0.25,13.7,2.6,272103,'SRID=4326;LINESTRING(8.31334018942867 49.0090434774209
49,50,52,54,380000,3,3,,Daxlanden - Philippsburg,EnBW,7520,32991,0.033333,0.333333,10.275,1.95,272126,'SRID=4326;LINESTRING(8.31334018942867 49.0090434774209
50,51,52,55,220000,3,4,,Altlußheim - Daxlanden,EnBW,5100,37972,0.04,0.16,23,2.6,272681,'SRID=4326;LINESTRING(8.31334018942867 49.0090434774209
51,52,52,56,220000,3,2,,Daxlanden - Neurott,EnBW,5100,66558,0.08,0.32,11.5,1.3,272682,'SRID=4326;LINESTRING(8.31334018942867 49.0090434774209
52,53,57,52,220000,3,4,,Seehof (220 kV Daxlanden-Oberwald),EnBW,,13839,0.04,0.16,23,2.6,272728,'SRID=4326;LINESTRING(8.44554253599103 48.9860882032815
53,54,57,58,220000,3,2,,Edelberg (220 kV Oberwald - Birkenfeld),EnBW,,21826,0.08,0.32,11.5,1.3,272729,'SRID=4326;LINESTRING(8.44554253599103 48.9860882032815
54,55,58,52,220000,3,2,,Pfinztal (220 kV Daxlanden-Birkenfeld),EnBW,,29591,0.08,0.32,11.5,1.3,272732,'SRID=4326;LINESTRING(8.64158407529801 48.8900525292561
55,56,59,60,380000,3,2,50,307,TenneT,,55597,0.05,0.5,6.85,1.3,289000,'SRID=4326;LINESTRING(8.56374402466983 53.0317216060084
56,57,61,62,220000,3,1,50,2144,TenneT,,38668,0.16,0.64,5.75,0.65,300029,'SRID=4326;LINESTRING(8.51888183670623 53.2026352879915
57,58,30,61,380000,3,2,50,Dollern-(Niedervieland/Unterweser)-Alfstedt,TenneT,3103,90826,0.05,0.5,6.85,1.3,309969,'SRID=4326;LINESTRING(9.50178971212981 53.5428143880013
58,59,63,52,220000,3,2,50,Bühl - Daxlanden,EnBW,BUEHL-DAXLA,41544,0.08,0.32,11.5,1.3,339243,'SRID=4326;LINESTRING(8.12061826655718 48.7053527235337
59,60,13,64,380000,3,4,,Oberbachern - Menzing,Stadtwerke München,439;440,17129,0.025,0.25,13.7,2.6,377770,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393
60,61,65,66,380000,3,3,,Etzenricht - Hradec,CEPS;TenneT TSO GmbH,441,163586,0.033333,0.333333,10.275,1.95,395087,'SRID=4326;LINESTRING(13.3264050703954 50.3463722141376
61,62,527,528,380000,3,3,50,,,,15584,0.033333,0.333333,10.275,1.95,418019,'SRID=4326;LINESTRING(5.0153381998213 52.3371603292604
62,63,529,530,380000,3,3,50,,,,46003,0.033333,0.333333,10.275,1.95,418354,'SRID=4326;LINESTRING(4.24821745869824 51.3695515064133
63,64,531,529,380000,3,3,50,,,,67467,0.033333,0.333333,10.275,1.95,418355,'SRID=4326;LINESTRING(4.83300770038476 51.7007738611391
64,65,531,530,380000,3,3,50,,,,99258,0.033333,0.333333,10.275,1.95,418356,'SRID=4326;LINESTRING(4.83300770038476 51.7007738611391
65,66,59,67,380000,3,2,50,303/307,TenneT,,14988,0.05,0.5,6.85,1.3,445559,'SRID=4326;LINESTRING(8.56374402466983 53.0317216060084
66,67,61,67,380000,3,2,50,307;303,TenneT,,37359,0.05,0.5,6.85,1.3,445560,'SRID=4326;LINESTRING(8.51888183670623 53.2026352879915
67,68,68,69,380000,3,4,50,Ried Ost,Amprion,,64423,0.025,0.25,13.7,2.6,576361,'SRID=4326;LINESTRING(8.77244299222179 49.9746686767501
68,69,70,69,380000,3,4,50,Ried West,Amprion,,55615,0.025,0.25,13.7,2.6,576364,'SRID=4326;LINESTRING(8.38855643052221 49.9823050863709
69,70,71,72,380000,3,4,50,504,50Hertz,504,51006,0.025,0.25,13.7,2.6,902595,'SRID=4326;LINESTRING(12.262173544509 51.7410202813412
70,71,73,74,380000,3,3,50,501,50Hertz,501,54235,0.033333,0.333333,10.275,1.95,902597,'SRID=4326;LINESTRING(13.1570905224719 51.8284516784236
71,72,37,75,380000,3,3,50,536 Klostermansfeld - Wolmirstedt,50Hertz,536,118963,0.033333,0.333333,10.275,1.95,904158,'SRID=4326;LINESTRING(11.6389126099956 52.2687358982154
72,73,72,75,380000,3,4,50,538 Lauchstädt - Klostermansfeld,50Hertz,538,38633,0.025,0.25,13.7,2.6,904159,'SRID=4326;LINESTRING(11.8942662085419 51.4057031779769
73,74,37,72,380000,3,3,50,535 Lauchstädt - Wolmirstedt,50Hertz,535,156923,0.033333,0.333333,10.275,1.95,904160,'SRID=4326;LINESTRING(11.6389126099956 52.2687358982154
74,75,76,77,380000,3,4,,Leitung 3016,TenneT,3016,54129,0.025,0.25,13.7,2.6,906772,'SRID=4326;LINESTRING(8.70221847039735 51.7363525890089
75,76,76,77,380000,3,4,,Leitung 3014,TenneT,3014,54129,0.025,0.25,13.7,2.6,906773,'SRID=4326;LINESTRING(8.70221847039735 51.7363525890089
76,77,73,72,380000,3,3,50,503,50Hertz,503,110042,0.033333,0.333333,10.275,1.95,907513,'SRID=4326;LINESTRING(13.1570905224719 51.8284516784236
77,78,18,40,380000,3,3,50,509,50Hertz,509,56402,0.033333,0.333333,10.275,1.95,912407,'SRID=4326;LINESTRING(13.6834769799404 54.1390906728297
78,79,10,45,220000,3,3,50,526,50Hertz,526,70002,0.053333,0.213333,17.25,1.95,918562,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
79,80,10,74,380000,3,3,50,521,50Hertz,521,130600,0.033333,0.333333,10.275,1.95,918563,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949
80,81,45,74,380000,3,1,50,522,50Hertz,522,61987,0.1,1,3.425,0.65,918564,'SRID=4326;LINESTRING(13.3057533352426 52.2307818607751
81,82,78,32,380000,3,4,50,416,50Hertz,416,77739,0.025,0.25,13.7,2.6,918567,'SRID=4326;LINESTRING(11.6463786860412 50.5348769896165
82,83,79,80,380000,3,,50,566,50Hertz,566,21986,,,,,919059,'SRID=4326;LINESTRING(14.4719654746961 51.5538127702297
83,84,79,80,380000,3,,50,565,50Hertz,565,21969,,,,,919060,'SRID=4326;LINESTRING(14.4719654746961 51.5538127702297
84,85,81,79,380000,3,,50,542,50Hertz,542,62103,,,,,919119,'SRID=4326;LINESTRING(14.4281805295455 51.888864175856
85,86,81,79,380000,3,,50,541,50Hertz,541,62118,,,,,919121,'SRID=4326;LINESTRING(14.4281805295455 51.888864175856
86,87,34,82,220000,3,2,50,300 Wilhelmshaven - Maade,,300,2345,0.08,0.32,11.5,1.3,941141,'SRID=4326;LINESTRING(8.122642304058 53.5605160665145
87,88,83,84,220000,3,2,50,211,TenneT,211,13656,0.08,0.32,11.5,1.3,943999,'SRID=4326;LINESTRING(10.1562825155965 54.2755482828972
88,89,83,24,220000,3,1,50,207,TenneT,207,31619,0.16,0.64,5.75,0.65,945143,'SRID=4326;LINESTRING(10.1562825155965 54.2755482828972
89,90,85,86,380000,3,4,50,Gronau West,Amprion,,46365,0.025,0.25,13.7,2.6,962084,'SRID=4326;LINESTRING(7.03496796550368 52.2028607768236
90,91,87,86,380000,3,4,50,Münsterland,Amprion,,110063,0.025,0.25,13.7,2.6,962095,'SRID=4326;LINESTRING(7.06034476225792 51.6964980793073
91,92,90,86,380000,3,4,50,Roxel Ost,Amprion,,69898,0.025,0.25,13.7,2.6,962096,'SRID=4326;LINESTRING(7.54571775348996 51.9703244532995
92,93,91,86,380000,3,4,50,Emsland-D0,Amprion,,1071,0.025,0.25,13.7,2.6,962108,'SRID=4326;LINESTRING(7.30460120682915 52.4817909166958
93,94,86,92,380000,3,4,50,Emsland-D2,Amprion,,1070,0.025,0.25,13.7,2.6,962109,'SRID=4326;LINESTRING(7.30824781629083 52.4767901583642
94,95,91,86,380000,3,4,50,Emsland-D1,Amprion,,1071,0.025,0.25,13.7,2.6,962110,'SRID=4326;LINESTRING(7.30460120682915 52.4817909166958
95,96,86,93,380000,3,4,50,Meppen,Amprion,,47098,0.025,0.25,13.7,2.6,962120,'SRID=4326;LINESTRING(7.30824781629083 52.4767901583642
96,97,94,86,380000,3,4,50,Niedersachsen Süd,Amprion,,74440,0.025,0.25,13.7,2.6,962121,'SRID=4326;LINESTRING(8.30775696202904 52.3456357754793
97,98,86,95,380000,3,4,50,Bramgau,Amprion,,60210,0.025,0.25,13.7,2.6,962122,'SRID=4326;LINESTRING(7.30824781629083 52.4767901583642
98,99,86,96,220000,3,2,50,Benteler,Amprion,,1321,0.08,0.32,11.5,1.3,962172,'SRID=4326;LINESTRING(7.30824781629083 52.4767901583642
99,100,97,66,380000,3,4,50,Etzenricht - Přeštice,ČEPS,442,110063,0.025,0.25,13.7,2.6,965662,'SRID=4326;LINESTRING(13.3352804208787 49.5896898733245
100,101,42,98,380000,3,4,50,544,50Hertz,544,35726,0.025,0.25,13.7,2.6,1000670,'SRID=4326;LINESTRING(12.1869848529515 53.8157751978716
101,102,99,100,380000,3,4,,Uchtelfangen West,Amprion,,94570,0.025,0.25,13.7,2.6,1020855,'SRID=4326;LINESTRING(6.99647662277982 49.3754093214106
102,103,42,98,380000,3,4,50,543,50Hertz,543,35711,0.025,0.25,13.7,2.6,1021991,'SRID=4326;LINESTRING(12.1869848529515 53.8157751978716
103,104,42,181,220000,3,2,50,315,50Hertz Transmission,315,151110,0.08,0.32,11.5,1.3,1021992,'SRID=4326;LINESTRING(12.1869848529515 53.8157751978716
104,105,42,101,380000,3,4,50,424,50Hertz,424,47160,0.025,0.25,13.7,2.6,1022003,'SRID=4326;LINESTRING(12.1869848529515 53.8157751978716
105,106,102,42,380000,3,4,50,423,50Hertz,423,71639,0.025,0.25,13.7,2.6,1022004,'SRID=4326;LINESTRING(11.3706374165175 53.6009910913085
106,107,103,87,380000,3,4,50,Kusenhorst,Amprion,,40857,0.025,0.25,13.7,2.6,1082800,'SRID=4326;LINESTRING(6.94821096676896 51.4445758936096
107,108,104,103,380000,3,4,50,Büscherhof West,Amprion,,16664,0.025,0.25,13.7,2.6,1082801,'SRID=4326;LINESTRING(6.92675898550662 51.4992056970517
108,109,105,87,380000,3,4,50,Lippe Nord,Amprion,,37010,0.025,0.25,13.7,2.6,1082805,'SRID=4326;LINESTRING(6.68079563463015 51.6462972769253
109,110,106,107,380000,3,3,50,Weitmar West,Amprion,,24759,0.033333,0.333333,10.275,1.95,1082806,'SRID=4326;LINESTRING(7.16721463545721 51.3899067765993
110,111,108,107,380000,3,4,50,Eiberg Nord,Amprion,,14690,0.025,0.25,13.7,2.6,1082807,'SRID=4326;LINESTRING(6.99606886995841 51.5141696109019
111,112,109,106,380000,3,4,50,Kemnade Süd,Amprion,,17508,0.025,0.25,13.7,2.6,1082808,'SRID=4326;LINESTRING(7.31318287435069 51.4466114132712
112,113,110,111,380000,3,4,50,Sauerland Nord,Amprion,,114532,0.025,0.25,13.7,2.6,1082809,'SRID=4326;LINESTRING(7.99288732000281 51.6837077158762
113,114,87,112,380000,3,4,50,Recklinghausen,Amprion,,35448,0.025,0.25,13.7,2.6,1082810,'SRID=4326;LINESTRING(7.06034476225792 51.6964980793073
114,115,113,87,380000,3,4,50,Westfalen West,Amprion,,23003,0.025,0.25,13.7,2.6,1082811,'SRID=4326;LINESTRING(7.12323886855291 51.5256121997715
115,116,87,85,380000,3,4,50,Hamaland,Amprion,,63813,0.025,0.25,13.7,2.6,1082814,'SRID=4326;LINESTRING(7.06034476225792 51.6964980793073
116,117,110,114,380000,3,4,50,Arpe West,Amprion,,67402,0.025,0.25,13.7,2.6,1082816,'SRID=4326;LINESTRING(7.99288732000281 51.6837077158762
117,118,115,116,220000,3,4,50,Frimmersdorf 5e,Amprion,,21325,0.04,0.16,23,2.6,1082942,'SRID=4326;LINESTRING(6.57648211320418 51.0555954842661
118,119,117,118,380000,3,4,50,Ließem Ost,Amprion,,34590,0.025,0.25,13.7,2.6,1082943,'SRID=4326;LINESTRING(6.97257748891579 50.795693016675
119,120,117,119,380000,3,4,50,Sechtem Süd,Amprion,,44755,0.025,0.25,13.7,2.6,1082944,'SRID=4326;LINESTRING(6.97257748891579 50.795693016675
120,121,117,120,380000,3,4,50,Siegtal Süd,Amprion,,68016,0.025,0.25,13.7,2.6,1082946,'SRID=4326;LINESTRING(6.97257748891579 50.795693016675
121,122,121,122,380000,3,4,50,Röhe Nord,Amprion,,12227,0.025,0.25,13.7,2.6,1082948,'SRID=4326;LINESTRING(6.32166521557731 50.8383474955825
122,123,123,124,380000,3,4,50,Neurath 3c,Amprion,,10621,0.025,0.25,13.7,2.6,1082949,'SRID=4326;LINESTRING(6.70219721289106 51.0088597430362
123,124,125,126,380000,3,4,50,Leichlingen Ost,Amprion,,28549,0.025,0.25,13.7,2.6,1082952,'SRID=4326;LINESTRING(6.96568445966487 51.0693295406357
124,125,127,119,380000,3,4,50,Weisweiler Süd,Amprion,,16770,0.025,0.25,13.7,2.6,1082953,'SRID=4326;LINESTRING(6.30090126366431 50.8289532360211
125,126,118,496,380000,3,4,50,380 kV Weißenthurm Ost,Amprion,,42735,0.025,0.25,13.7,2.6,1082954,'SRID=4326;LINESTRING(7.13689471769255 50.6428608849405
126,127,121,119,380000,3,4,50,Weisweiler Nord,Amprion,,14746,0.025,0.25,13.7,2.6,1082955,'SRID=4326;LINESTRING(6.32166521557731 50.8383474955825
127,128,129,124,220000,3,2,50,Neurath 1a,Amprion,,34376,0.08,0.32,11.5,1.3,1082956,'SRID=4326;LINESTRING(6.62582903685647 51.2606112581148
128,129,125,130,380000,3,4,50,Leichlingen West,Amprion,,16939,0.025,0.25,13.7,2.6,1082957,'SRID=4326;LINESTRING(6.96568445966487 51.0693295406357
129,130,125,123,380000,3,4,50,Opladen Nord,Amprion,,22041,0.025,0.25,13.7,2.6,1082958,'SRID=4326;LINESTRING(6.96568445966487 51.0693295406357
130,131,131,132,380000,3,4,50,St. Peter Nord,Amprion,,20649,0.025,0.25,13.7,2.6,1082959,'SRID=4326;LINESTRING(6.80109337218585 51.1225390893163
131,132,133,123,380000,3,4,50,Brauweiler West,Amprion,,22324,0.025,0.25,13.7,2.6,1082960,'SRID=4326;LINESTRING(6.84265069037124 50.8635385173748
